visible at 
frame = 21700
2750.074694 5833.845389 598.489976
2670.789175 5856.236521 727.920099
2584.764522 5878.949576 852.873780
2490.862977 5902.273198 971.933041
2388.848678 5925.623104 1084.089704
2279.854282 5948.530551 1189.594444
2165.924593 5970.629121 1289.930183
2047.796502 5992.052783 1385.450500
1923.820928 6013.195225 1473.317275
1792.833849 6034.487247 1550.292498
1654.854190 6056.349572 1613.703413
1511.254839 6079.057283 1662.693316
1363.914919 6102.710642 1698.410877
1215.397646 6126.003192 1728.797597
1065.263507 6147.638312 1751.593536
913.442376 6169.072177 1754.003481
761.696673 6191.071139 1747.990936
609.205075 6206.367470 1753.256979
456.526358 6219.555788 1751.670081
307.013967 6237.307356 1722.180701
159.899382 6254.188422 1682.715167
13.523650 6268.577012 1638.682904
-130.017707 6281.450852 1586.242279
-270.659378 6292.575252 1525.938262
-407.498416 6302.012790 1457.248848
-540.018378 6309.814782 1380.344359
-666.455889 6317.210331 1293.761424
-783.375108 6324.375168 1194.690490
-887.780172 6330.504198 1082.467703
-979.923659 6335.000907 959.871133
-1063.621581 6337.702205 831.355078
-1142.979211 6338.803899 700.035261
-1216.954884 6338.004528 565.678194
-1283.330239 6335.460466 427.325161
-1341.197442 6331.594469 285.396368
-1388.733871 6326.671189 139.489528
-1423.667118 6320.997635 -9.704082
-1423.667118 6320.997635 -9.704082
-1423.667118 6320.997635 -9.704082

visible at 
frame = 21705
-1440.838248 6316.426341 -115.540479
-1464.326431 6305.615645 -266.733828
-1477.648403 6295.565901 -418.975669
-1485.150200 6282.595828 -571.865889
-1475.396668 6269.095134 -723.864804
-1453.608217 6254.619660 -874.693134
-1471.574727 6227.078020 -1024.608678
-1447.665825 6205.778282 -1173.712307
-1442.507234 6176.566552 -1322.393871
-1384.625037 6157.243491 -1465.247032
-1391.944118 6118.294893 -1613.101162
-1369.618732 6083.033303 -1759.045236
-1322.596894 6050.680704 -1901.855684
-1277.568406 6014.452492 -2043.766444
-1224.838069 5976.994873 -2182.923744
-1158.255787 5940.607073 -2316.146956
-1071.633406 5908.333637 -2438.488712
-974.169705 5877.274447 -2552.759613
-876.719851 5842.491530 -2666.050349
-777.285336 5804.899871 -2776.637457
-674.586231 5764.858853 -2883.337538
-567.868894 5723.335313 -2985.417924
-457.187982 5681.731219 -3083.168157
-340.197498 5641.520459 -3173.895305
-213.428578 5604.430399 -3251.904008
-75.383122 5572.799516 -3310.781661
71.255331 5547.961817 -3348.361088
222.158249 5529.140808 -3368.657725
374.620348 5514.617654 -3377.443189
527.659679 5505.550842 -3372.877315
679.472523 5502.671976 -3351.398044
829.587628 5502.071045 -3319.718707
977.917358 5500.976628 -3280.802894
